Year,Rank,Song,Artist,gender
1978-01-01,27,cant smile without you,barry manilow,male
1978-01-01,28,too much too little too late,johnny mathis  deniece williams,
1978-01-01,29,dance with me,peter brown,male
1978-01-01,30,two out of three aint bad,meat loaf,male
1978-01-01,31,jack and jill,raydio,
1978-01-01,32,take a chance on me,abba,
1978-01-01,33,sometimes when we touch,dan hill,male
1978-01-01,34,last dance,donna summer,female
1978-01-01,35,hopelessly devoted to you,olivia newtonjohn,female
1978-01-01,36,hot blooded,foreigner,
1978-01-01,37,youre in my heart the final acclaim,rod stewart,male
1978-01-01,38,the closer i get to you,roberta flack  donny hathaway,
1978-01-01,39,dust in the wind,kansas,
1978-01-01,40,magnet and steel,walter egan,male
1978-01-01,41,short people,randy newman,male
1978-01-01,42,use ta be my girl,the ojays,
1978-01-01,43,our love,natalie cole,female
1978-01-01,44,love will find a way,pablo cruise,
1978-01-01,45,an everlasting love,andy gibb,male
1978-01-01,46,love is in the air,john paul young,male
1978-01-01,47,goodbye girl,david gates,male
1978-01-01,48,slip slidin away,paul simon,male
1978-01-01,49,the groove line,heatwave,
1978-01-01,50,thunder island,jay ferguson,male
1978-01-01,51,imaginary lover,atlanta rhythm section,
1978-01-01,52,still the same,bob seger  the silver bullet band,
1978-01-01,53,my angel baby,toby beau,
1978-01-01,54,disco inferno,the trammps,
1978-01-01,55,on broadway,george benson,male
1978-01-01,56,come sail away,styx,
1978-01-01,57,every time i turn around back in love again,ltd,
1978-01-01,58,this time im in it for love,player,
1978-01-01,59,you belong to me,carly simon,female
1978-01-01,60,here you come again,dolly parton,female
1978-01-01,61,blue bayou,linda ronstadt,female
1978-01-01,62,peg,steely dan,
1978-01-01,63,you needed me,anne murray,female
1978-01-01,64,shame,evelyn champagne king,female
1978-01-01,65,reminiscing,little river band,
1978-01-01,66,count on me,jefferson starship,
1978-01-01,67,baby hold on,eddie money,male
1978-01-01,68,hey deanie,shaun cassidy,male
1978-01-01,69,summer nights,john travolta  olivia newtonjohn,
1978-01-01,70,whats your name,lynyrd skynyrd,
1978-01-01,71,dont it make my brown eyes blue,crystal gayle,female
1978-01-01,72,because the night,patti smith group,
1978-01-01,73,every kinda people,robert palmer,male
1978-01-01,74,copacabana,barry manilow,male
1978-01-01,75,always and forever,heatwave,
1978-01-01,76,you and i,rick james,male
1978-01-01,77,serpentine fire,earth wind  fire,
1978-01-01,78,sentimental lady,bob welch,male
1978-01-01,79,falling,leblanc  carr,
1978-01-01,80,dont let me be misunderstood,santa esmeralda,
1978-01-01,81,bluer than blue,michael johnson,male
1978-01-01,82,running on empty,jackson browne,male
1978-01-01,83,whenever i call you friend,kenny loggins  stevie nicks,
1978-01-01,84,fool if you think its over,chris rea,male
1978-01-01,85,get off,foxy,
1978-01-01,86,sweet talkin woman,electric light orchestra,
1978-01-01,87,lifes been good,joe walsh,male
1978-01-01,88,i love the nightlife,alicia bridges,female
1978-01-01,89,you cant turn me off in the middle of turning me on,high inergy,
1978-01-01,90,its so easy,linda ronstadt,female
1978-01-01,91,native new yorker,odyssey,
1978-01-01,92,flash light,parliament,
1978-01-01,93,dont look back,boston,
1978-01-01,94,turn to stone,electric light orchestra,
1978-01-01,95,i cant stand the rain,eruption,
1978-01-01,96,ebony eyes,bob welch,male
1978-01-01,97,the name of the game,abba,
1978-01-01,98,were all alone,rita coolidge,female
1978-01-01,99,hollywood nights,bob seger  the silver bullet band,
1978-01-01,100,deacon blues,steely dan,
1979-01-01,1,my sharona,the knack,
1979-01-01,2,bad girls,donna summer,female
1979-01-01,3,le freak,chic,
1979-01-01,4,da ya think im sexy,rod stewart,male
1979-01-01,5,reunited,peaches  herb,
1979-01-01,6,i will survive,gloria gaynor,female
1979-01-01,7,hot stuff,donna summer,female
1979-01-01,8,ymca,village people,
1979-01-01,9,ring my bell,anita ward,female
1979-01-01,10,sad eyes,robert john,male
1979-01-01,11,too much heaven,bee gees,
1979-01-01,12,macarthur park,donna summer,female
1979-01-01,13,when youre in love with a beautiful woman,dr hook,
1979-01-01,14,makin it,david naughton,
1979-01-01,15,fire,the pointer sisters,
1979-01-01,16,tragedy,bee gees,
1979-01-01,17,a little more love,olivia newtonjohn,female
1979-01-01,18,heart of glass,blondie,
1979-01-01,19,what a fool believes,the doobie brothers,
1979-01-01,20,good times,chic,
1979-01-01,21,you dont bring me flowers,neil diamond  barbra streisand,
1979-01-01,22,knock on wood,amii stewart,female
1979-01-01,23,stumblin in,suzi quatro  chris norman,
1979-01-01,24,lead me on,maxine nightingale,female
1979-01-01,25,shake your body down to the ground,the jacksons,
1979-01-01,26,dont cry out loud,melissa manchester,female
1979-01-01,27,the logical song,supertramp,
1979-01-01,28,my life,billy joel,male
1979-01-01,29,just when i needed you most,randy vanwarmer,male
1979-01-01,30,you cant change that,raydio,
1979-01-01,31,shake your groove thing,peaches  herb,
1979-01-01,32,ill never love this way again,dionne warwick,female
1979-01-01,33,love you inside out,bee gees,
1979-01-01,34,i want you to want me,cheap trick,
1979-01-01,35,the main eventfight,barbra streisand,female
1979-01-01,36,mama cant buy you love,elton john,male
1979-01-01,37,i was made for dancin,leif garrett,male
1979-01-01,38,after the love has gone,earth wind  fire,
1979-01-01,39,heaven knows,donna summer and brooklyn dreams,
1979-01-01,40,the gambler,kenny rogers,male
1979-01-01,41,lotta love,nicolette larson,female
1979-01-01,42,lady,little river band,
1979-01-01,43,heaven must have sent you,bonnie pointer,female
1979-01-01,44,hold the line,toto,
1979-01-01,45,hes the greatest dancer,sister sledge,
1979-01-01,46,sharing the night together,dr hook  the medicine show,
1979-01-01,47,she believes in me,kenny rogers,male
1979-01-01,48,in the navy,village people,
1979-01-01,49,music box dancer,frank mills,
1979-01-01,50,the devil went down to georgia,the charlie daniels band,
1979-01-01,51,gold,john stewart,male
1979-01-01,52,goodnight tonight,wings,
1979-01-01,53,we are family,sister sledge,
1979-01-01,54,rock n roll fantasy,bad company,
1979-01-01,55,every 1s a winner,hot chocolate,
1979-01-01,56,take me home,cher,female
1979-01-01,57,boogie wonderland,earth wind  fire  the emotions,
1979-01-01,58,our love dont throw it all away,andy gibb,male
1979-01-01,59,what you wont do for love,bobby caldwell,
1979-01-01,60,new york groove,ace frehley,male
1979-01-01,61,sultans of swing,dire straits,
1979-01-01,62,i want your love,chic,
1979-01-01,63,chuck es in love,rickie lee jones,female
1979-01-01,64,i love the nightlife,alicia bridges,female
1979-01-01,65,aint no stoppin us now,mcfadden  whitehead,
1979-01-01,66,lonesome loser,little river band,
1979-01-01,67,renegade,styx,
1979-01-01,68,love is the answer,england dan  john ford coley,
1979-01-01,69,got to be real,cheryl lynn,female
1979-01-01,70,born to be alive,patrick hernandez,male
1979-01-01,71,shine a little love,electric light orchestra,
1979-01-01,72,i just fall in love again,anne murray,female
1979-01-01,73,shake it,ian matthews,
1979-01-01,74,i was made for lovin you,kiss,
1979-01-01,75,i just wanna stop,gino vannelli,male
1979-01-01,76,disco nights rockfreak,gq,
1979-01-01,77,ooo baby baby,linda ronstadt,female
1979-01-01,78,september,earth wind  fire,
1979-01-01,79,time passages,al stewart,male
1979-01-01,80,rise,herb alpert,
1979-01-01,81,dont bring me down,electric light orchestra,
1979-01-01,82,promises,eric clapton,male
1979-01-01,83,get used to it,roger voudouris,male
1979-01-01,84,how much i feel,ambrosia,
1979-01-01,85,suspicions,eddie rabbitt,male
1979-01-01,86,you take my breath away,rex smith,male
1979-01-01,87,how you gonna see me now,alice cooper,male
1979-01-01,88,double vision,foreigner,
1979-01-01,89,everytime i think of you,the babys,
1979-01-01,90,i got my mind made up you can get it girl,instant funk,
1979-01-01,91,dont stop til you get enough,michael jackson,male
1979-01-01,92,bad case of loving you doctor doctor,robert palmer,male
1979-01-01,93,somewhere in the night,barry manilow,male
1979-01-01,94,weve got tonight,bob seger  the silver bullet band,
1979-01-01,95,dance the night away,van halen,
1979-01-01,96,dancin shoes,nigel olsson,male
1979-01-01,97,the boss,diana ross,female
1979-01-01,98,sail on,commodores,
1979-01-01,99,i do love you,gq,
1979-01-01,100,strange way,firefall,
1980-01-01,1,call me,blondie,
1980-01-01,2,another brick in the wall part ii,pink floyd,
1980-01-01,3,magic,olivia newtonjohn,female
1980-01-01,4,rock with you,michael jackson,male
1980-01-01,5,do that to me one more time,captain  tennille,
1980-01-01,6,crazy little thing called love,queen,
1980-01-01,7,coming up,paul mccartney,male
1980-01-01,8,funkytown,lipps inc,
1980-01-01,9,its still rock and roll to me,billy joel,male
1980-01-01,10,the rose,bette midler,female
1980-01-01,11,escape the pi~na colada song,rupert holmes,
1980-01-01,12,cars,gary numan,male
1980-01-01,13,cruisin,smokey robinson,male
1980-01-01,14,working my way back to youforgive me girl,the spinners,
1980-01-01,15,lost in love,air supply,
1980-01-01,16,little jeannie,elton john,male
1980-01-01,17,ride like the wind,christopher cross,male
1980-01-01,18,upside down,diana ross,female
1980-01-01,19,please dont go,kc and the sunshine band,
1980-01-01,20,babe,styx,
1980-01-01,21,with you im born again,billy preston and syreeta,
1980-01-01,22,shining star,the manhattans,
1980-01-01,23,still,commodores,
1980-01-01,24,yes im ready,teri desario  kc,
1980-01-01,25,sexy eyes,dr hook,
1980-01-01,26,steal away,robbie dupree,male
1980-01-01,27,biggest part of me,ambrosia,
1980-01-01,28,this is it,kenny loggins,male
1980-01-01,29,cupidive loved you for a long time,the spinners,
1980-01-01,30,lets get serious,jermaine jackson,male
1980-01-01,31,dont fall in love with a dreamer,kenny rogers  kim carnes,
1980-01-01,32,sailing,christopher cross,male
1980-01-01,33,longer,dan fogelberg,male
1980-01-01,34,coward of the county,kenny rogers,male
1980-01-01,35,ladies night,kool  the gang,
1980-01-01,36,too hot,kool  the gang,
1980-01-01,37,take your time do it right,the sos band,
1980-01-01,38,no more tears enough is enough,barbra streisand  donna summer,
1980-01-01,39,more love,kim carnes,female
1980-01-01,40,pop muzik,m,
1980-01-01,41,brass in pocket,the pretenders,
1980-01-01,42,special lady,ray goodman  brown,
1980-01-01,43,send one your love,stevie wonder,male
1980-01-01,44,the second time around,shalamar,
1980-01-01,45,we dont talk anymore,cliff richard,male
1980-01-01,46,heartache tonight,eagles,
1980-01-01,47,stomp,the brothers johnson,
1980-01-01,48,tired of toein the line,rocky burnette,male
1980-01-01,49,better love next time,dr hook,
1980-01-01,50,him,rupert holmes,
1980-01-01,51,against the wind,bob seger and the silver bullet band,
1980-01-01,52,on the radio,donna summer,female
1980-01-01,53,emotional rescue,the rolling stones,
1980-01-01,54,rise,herb alpert,
1980-01-01,55,all out of love,air supply,
1980-01-01,56,cool change,little river band,
1980-01-01,57,youre only lonely,jd souther,
1980-01-01,58,desire,andy gibb,male
1980-01-01,59,let my love open the door,pete townshend,
1980-01-01,60,romeos tune,steve forbert,
1980-01-01,61,daydream believer,anne murray,female
1980-01-01,62,i cant tell you why,eagles,
1980-01-01,63,dont let go,isaac hayes,male
1980-01-01,64,dont do me like that,tom petty and the heartbreakers,
1980-01-01,65,shes out of my life,michael jackson,male
1980-01-01,66,fame,irene cara,female
1980-01-01,67,fire lake,bob seger,male
1980-01-01,68,how do i make you,linda ronstadt,female
1980-01-01,69,into the night,benny mardones,
1980-01-01,70,let me love you tonight,pure prairie league,
1980-01-01,71,misunderstanding,genesis,
1980-01-01,72,an american dream,the dirt band,
1980-01-01,73,one fine day,carole king,female
1980-01-01,74,dim all the lights,donna summer,female
1980-01-01,75,you may be right,billy joel,male
1980-01-01,76,hurt so bad,linda ronstadt,female
1980-01-01,77,shouldve never let you go,neil  dara sedaka,
1980-01-01,78,pilot of the airwaves,charlie dore,female
1980-01-01,79,off the wall,michael jackson,male
1980-01-01,80,i pledge my love,peaches  herb,
1980-01-01,81,the long run,eagles,
1980-01-01,82,stand by me,mickey gilley,male
1980-01-01,83,heartbreaker,pat benatar,female
1980-01-01,84,dej`a vu,dionne warwick,female
1980-01-01,85,drivin my life away,eddie rabbitt,male
1980-01-01,86,take the long way home,supertramp,
1980-01-01,87,sara,fleetwood mac,
1980-01-01,88,wait for me,hall  oates,
1980-01-01,89,jojo,boz scaggs,male
1980-01-01,90,september morn,neil diamond,male
1980-01-01,91,give me the night,george benson,male
1980-01-01,92,broken hearted me,anne murray,female
1980-01-01,93,you decorated my life,kenny rogers,male
1980-01-01,94,tusk,fleetwood mac,
1980-01-01,95,i wanna be your lover,prince,male
1980-01-01,96,in america,charlie daniels band,
1980-01-01,97,breakdown dead ahead,boz scaggs,male
1980-01-01,98,ships,barry manilow,male
1980-01-01,99,all night long,joe walsh,male
1980-01-01,100,refugee,tom petty and the heartbreakers,
1981-01-01,1,bette davis eyes,kim carnes,female
1981-01-01,2,endless love,diana ross  lionel richie,
1981-01-01,3,lady,kenny rogers,male
1981-01-01,4,just like starting over,john lennon,male
1981-01-01,5,jessies girl,rick springfield,male
1981-01-01,6,celebration,kool  the gang,
1981-01-01,7,kiss on my list,hall  oates,
1981-01-01,8,i love a rainy night,eddie rabbitt,male
1981-01-01,9,9 to 5,dolly parton,female
1981-01-01,10,keep on loving you,reo speedwagon,
1981-01-01,11,theme from the greatest american hero believe it or not,joey scarbury,male
1981-01-01,12,morning train nine to five,sheena easton,female
1981-01-01,13,being with you,smokey robinson,male
1981-01-01,14,queen of hearts,juice newton,female
1981-01-01,15,rapture,blondie,
1981-01-01,16,a woman needs love just like you do,raydio,
1981-01-01,17,the tide is high,blondie,
1981-01-01,18,just the two of us,grover washington jr  bill withers,
1981-01-01,19,slow hand,the pointer sisters,
1981-01-01,20,i love you,climax blues band,
1981-01-01,21,woman,john lennon,male
1981-01-01,22,sukiyaki,a taste of honey,
1981-01-01,23,the winner takes it all,abba,
1981-01-01,24,stars on 45 medley,stars on 45,
1981-01-01,25,angel of the morning,juice newton,female
1981-01-01,26,love on the rocks,neil diamond,male
1981-01-01,27,every woman in the world,air supply,
1981-01-01,28,the one that you love,air supply,
1981-01-01,29,guilty,barbra streisand  barry gibb,
1981-01-01,30,the best of times,styx,
1981-01-01,31,elvira,the oak ridge boys,
1981-01-01,32,take it on the run,reo speedwagon,
1981-01-01,33,theres no gettin over me,ronnie milsap,male
1981-01-01,34,living inside myself,gino vannelli,male
1981-01-01,35,woman in love,barbra streisand,female
1981-01-01,36,the boy from new york city,the manhattan transfer,
1981-01-01,37,urgent,foreigner,
1981-01-01,38,passion,rod stewart,male
1981-01-01,39,lady you bring me up,commodores,
1981-01-01,40,crying,don mclean,male
1981-01-01,41,hearts,marty balin,male
1981-01-01,42,its my turn,diana ross,female
1981-01-01,43,you make my dreams,hall  oates,
1981-01-01,44,i dont need you,kenny rogers,male
1981-01-01,45,how bout us,champaign,
1981-01-01,46,hit me with your best shot,pat benatar,female
1981-01-01,47,the breakup song they dont write em,the greg kihn band,
1981-01-01,48,time,the alan parsons project,
1981-01-01,49,hungry heart,bruce springsteen,male
1981-01-01,50,sweetheart,franke and the knockouts,
1981-01-01,51,somebodys knockin,terri gibbs,female
1981-01-01,52,more than i can say,leo sayer,male
1981-01-01,53,together,tierra,
1981-01-01,54,too much time on my hands,styx,
1981-01-01,55,what are we doin in love,dottie west  kenny rogers,
1981-01-01,56,whos crying now,journey,
1981-01-01,57,de do do do de da da da,the police,
1981-01-01,58,this little girl,gary us bonds,
1981-01-01,59,stop draggin my heart around,stevie nicks  tom petty,
1981-01-01,60,giving it up for your love,delbert mcclinton,male
1981-01-01,61,a little in love,cliff richard,male
1981-01-01,62,america,neil diamond,male
1981-01-01,63,aint even done with the night,john cougar,
1981-01-01,64,arthurs theme best that you can do,christopher cross,male
1981-01-01,65,another one bites the dust,queen,
1981-01-01,66,games people play,the alan parsons project,
1981-01-01,67,i cant stand it,eric clapton,male
1981-01-01,68,while you see a chance,steve winwood,male
1981-01-01,69,master blaster jammin,stevie wonder,male
1981-01-01,70,hello again,neil diamond,male
1981-01-01,71,dont stand so close to me,the police,
1981-01-01,72,hey nineteen,steely dan,
1981-01-01,73,i aint gonna stand for it,stevie wonder,male
1981-01-01,74,all those years ago,george harrison,male
1981-01-01,75,step by step,eddie rabbitt,male
1981-01-01,76,the stroke,billy squier,male
1981-01-01,77,feels so right,alabama,
1981-01-01,78,sweet baby,george duke  stanley clarke,
1981-01-01,79,same old lang syne,dan fogelberg,male
1981-01-01,80,cool love,pablo cruise,
1981-01-01,81,hold on tight,electric light orchestra,
1981-01-01,82,its now or never,john schneider,male
1981-01-01,83,treat me right,pat benatar,female
1981-01-01,84,winning,santana,
1981-01-01,85,what kind of fool,barbra streisand  barry gibb,
1981-01-01,86,watching the wheels,john lennon,male
1981-01-01,87,tell it like it is,heart,
1981-01-01,88,smoky mountain rain,ronnie milsap,male
1981-01-01,89,i made it through the rain,barry manilow,male
1981-01-01,90,youve lost that lovin feelin,hall  oates,
1981-01-01,91,suddenly,olivia newtonjohn  cliff richard,
1981-01-01,92,for your eyes only,sheena easton,female
1981-01-01,93,the beach boys medley,the beach boys,
1981-01-01,94,whip it,devo,
1981-01-01,95,modern girl,sheena easton,female
1981-01-01,96,really wanna know you,gary wright,male
1981-01-01,97,seven year ache,rosanne cash,female
1981-01-01,98,im coming out,diana ross,female
1981-01-01,99,miss sun,boz scaggs,male
1981-01-01,100,time is time,andy gibb,male
1982-01-01,1,physical,olivia newtonjohn,female
1982-01-01,2,eye of the tiger,survivor,
1982-01-01,3,i love rock n roll,joan jett and the blackhearts,
1982-01-01,4,ebony and ivory,paul mccartney and stevie wonder,
1982-01-01,5,centerfold,the j geils band,
1982-01-01,6,dont you want me,the human league,
1982-01-01,7,jack  diane,john cougar,
1982-01-01,8,hurts so good,john cougar,
1982-01-01,9,abracadabra,steve miller band,
1982-01-01,10,hard to say im sorry,chicago,
1982-01-01,11,tainted love,soft cell,
1982-01-01,12,chariots of fire,vangelis,
1982-01-01,13,harden my heart,quarterflash,
1982-01-01,14,rosanna,toto,
1982-01-01,15,i cant go for that no can do,daryl hall  john oates,
1982-01-01,16,8675309jenny,tommy tutone,
1982-01-01,17,key largo,bertie higgins,male
1982-01-01,18,you should hear how she talks about you,melissa manchester,female
1982-01-01,19,waiting for a girl like you,foreigner,
1982-01-01,20,dont talk to strangers,rick springfield,male
1982-01-01,21,the sweetest thing ive ever known,juice newton,female
1982-01-01,22,always on my mind,willie nelson,male
1982-01-01,23,shake it up,the cars,
1982-01-01,24,let it whip,dazz band,
1982-01-01,25,we got the beat,the gogos,
1982-01-01,26,the other woman,ray parker jr,male
1982-01-01,27,turn your love around,george benson,male
1982-01-01,28,sweet dreams,air supply,
1982-01-01,29,only the lonely,the motels,
1982-01-01,30,who can it be now,men at work,
1982-01-01,31,hold me,fleetwood mac,
1982-01-01,32,eye in the sky,the alan parsons project,
1982-01-01,33,lets groove,earth wind  fire,
1982-01-01,34,open arms,journey,
1982-01-01,35,leader of the band,dan fogelberg,male
1982-01-01,36,leather and lace,stevie nicks and don henley,
1982-01-01,37,even the nights are better,air supply,
1982-01-01,38,ive never been to me,charlene,female
1982-01-01,39,65 love affair,paul davis,male
1982-01-01,40,heat of the moment,asia,
1982-01-01,41,take it easy on me,little river band,
1982-01-01,42,pacman fever,buckner  garcia,
1982-01-01,43,that girl,stevie wonder,male
1982-01-01,44,private eyes,daryl hall  john oates,
1982-01-01,45,trouble,lindsey buckingham,male
1982-01-01,46,making love,roberta flack,female
1982-01-01,47,loves been a little bit hard on me,juice newton,female
1982-01-01,48,young turks,rod stewart,male
1982-01-01,49,freezeframe,the j geils band,
1982-01-01,50,keep the fire burnin,reo speedwagon,
1982-01-01,51,do you believe in love,huey lewis and the news,
1982-01-01,52,cool night,paul davis,male
1982-01-01,53,caught up in you,38 special,
1982-01-01,54,why do fools fall in love,diana ross,female
1982-01-01,55,love in the first degree,alabama,
1982-01-01,56,hooked on classics,royal philharmonic orchestra,
1982-01-01,57,wasted on the way,crosby stills  nash,
1982-01-01,58,think im in love,eddie money,male
1982-01-01,59,love is in control finger on the trigger,donna summer,female
1982-01-01,60,personally,karla bonoff,female
1982-01-01,61,one hundred ways,quincy jones featuring james ingram,
1982-01-01,62,blue eyes,elton john,male
1982-01-01,63,our lips are sealed,the gogos,
1982-01-01,64,you could have been with me,sheena easton,female
1982-01-01,65,you can do magic,america,
1982-01-01,66,did it in a minute,daryl hall  john oates,
1982-01-01,67,i ran so far away,a flock of seagulls,
1982-01-01,68,somebodys baby,jackson browne,male
1982-01-01,69,oh no,commodores,
1982-01-01,70,take it away,paul mccartney,male
1982-01-01,71,its gonna take a miracle,deniece williams,female
1982-01-01,72,love will turn you around,kenny rogers,male
1982-01-01,73,dont stop believin,journey,
1982-01-01,74,comin in and out of your life,barbra streisand,female
1982-01-01,75,gloria,laura branigan,female
1982-01-01,76,empty garden hey hey johnny,elton john,male
1982-01-01,77,yesterdays songs,neil diamond,male
1982-01-01,78,crimson and clover,joan jett  the blackhearts,
1982-01-01,79,every little thing she does is magic,the police,
1982-01-01,80,here i am,air supply,
1982-01-01,81,i keep forgettin every time youre near,michael mcdonald,male
1982-01-01,82,get down on it,kool  the gang,
1982-01-01,83,any day now,ronnie milsap,male
1982-01-01,84,make a move on me,olivia newtonjohn,female
1982-01-01,85,take my heart you can have it if you want it,kool  the gang,
1982-01-01,86,mirror mirror,diana ross,female
1982-01-01,87,vacation,the gogos,
1982-01-01,88,oh pretty woman,van halen,
1982-01-01,89,should i do it,the pointer sisters,
1982-01-01,90,hot in the city,billy idol,male
1982-01-01,91,kids in america,kim wilde,female
1982-01-01,92,man on your mind,little river band,
1982-01-01,93,whats forever for,michael murphey,
1982-01-01,94,waiting on a friend,the rolling stones,
1982-01-01,95,do i do,stevie wonder,male
1982-01-01,96,working for the weekend,loverboy,
1982-01-01,97,goin down,greg guidry,
1982-01-01,98,arthurs theme best that you can do,christopher cross,male
1982-01-01,99,through the years,kenny rogers,male
1982-01-01,100,edge of seventeen just like the white winged dove,stevie nicks,female
1983-01-01,1,every breath you take,the police,
1983-01-01,2,billie jean,michael jackson,male
1983-01-01,3,flashdance what a feeling,irene cara,female
1983-01-01,4,down under,men at work,
1983-01-01,5,beat it,michael jackson,male
1983-01-01,6,total eclipse of the heart,bonnie tyler,female
1983-01-01,7,maneater,daryl hall  john oates,
1983-01-01,8,baby come to me,patti austin and james ingram,
1983-01-01,9,maniac,michael sembello,male
1983-01-01,10,sweet dreams are made of this,eurythmics,
1983-01-01,11,do you really want to hurt me,culture club,
1983-01-01,12,you and i,eddie rabbitt and crystal gayle,
1983-01-01,13,come on eileen,dexys midnight runners,
1983-01-01,14,shame on the moon,bob seger  the silver bullet band,
1983-01-01,15,she works hard for the money,donna summer,female
1983-01-01,16,never gonna let you go,sergio mendes,
1983-01-01,17,hungry like the wolf,duran duran,
1983-01-01,18,lets dance,david bowie,male
1983-01-01,19,twilight zone,golden earring,
1983-01-01,20,i know theres something going on,frida,
1983-01-01,21,jeopardy,the greg kihn band,
1983-01-01,22,electric avenue,eddy grant,male
1983-01-01,23,she blinded me with science,thomas dolby,male
1983-01-01,24,africa,toto,
1983-01-01,25,little red corvette,prince,male
1983-01-01,26,back on the chain gang,the pretenders,
1983-01-01,27,up where we belong,joe cocker and jennifer warnes,
1983-01-01,28,mr roboto,styx,
1983-01-01,29,you are,lionel richie,male
1983-01-01,30,der kommissar,after the fire,
1983-01-01,31,puttin on the ritz,taco,
1983-01-01,32,sexual healing,marvin gaye,male
1983-01-01,33,keep feeling fascination,the human league,
1983-01-01,34,time clock of the heart,culture club,
1983-01-01,35,the safety dance,men without hats,
1983-01-01,36,mickey,toni basil,female
1983-01-01,37,you cant hurry love,phil collins,male
1983-01-01,38,separate ways worlds apart,journey,
1983-01-01,39,one on one,daryl hall  john oates,
1983-01-01,40,weve got tonight,kenny rogers and sheena easton,
1983-01-01,41,1999,prince,male
1983-01-01,42,stray cat strut,stray cats,
1983-01-01,43,allentown,billy joel,male
1983-01-01,44,stand back,stevie nicks,female
1983-01-01,45,tell her about it,billy joel,male
1983-01-01,46,always something there to remind me,naked eyes,
1983-01-01,47,truly,lionel richie,male
1983-01-01,48,dirty laundry,don henley,male
1983-01-01,49,the girl is mine,michael jackson and paul mccartney,
1983-01-01,50,too shy,kajagoogoo,
1983-01-01,51,goody twoshoes,adam ant,male
1983-01-01,52,rock the casbah,the clash,
1983-01-01,53,our house,madness,
1983-01-01,54,overkill,men at work,
1983-01-01,55,is there something i should know,duran duran,
1983-01-01,56,gloria,laura branigan,female
1983-01-01,57,affair of the heart,rick springfield,male
1983-01-01,58,shes a beauty,the tubes,
1983-01-01,59,solitaire,laura branigan,female
1983-01-01,60,dont let it end,styx,
1983-01-01,61,how am i supposed to live without you,laura branigan,female
1983-01-01,62,china girl,david bowie,male
1983-01-01,63,come dancing,the kinks,
1983-01-01,64,promises promises,naked eyes,
1983-01-01,65,the other guy,little river band,
1983-01-01,66,making love out of nothing at all,air supply,
1983-01-01,67,family man,daryl hall  john oates,
1983-01-01,68,wanna be startin somethin,michael jackson,male
1983-01-01,69,i wont hold you back,toto,
1983-01-01,70,all right,christopher cross,male
1983-01-01,71,straight from the heart,bryan adams,male
1983-01-01,72,heart to heart,kenny loggins,male
1983-01-01,73,my love,lionel richie,male
1983-01-01,74,im still standing,elton john,male
1983-01-01,75,hot girls in love,loverboy,
1983-01-01,76,its a mistake,men at work,
1983-01-01,77,ill tumble 4 ya,culture club,
1983-01-01,78,all this love,debarge,
1983-01-01,79,your love is driving me crazy,sammy hagar,male
1983-01-01,80,heartbreaker,dionne warwick,female
1983-01-01,81,faithfully,journey,
1983-01-01,82,steppin out,joe jackson,male
1983-01-01,83,take me to heart,quarterflash,
1983-01-01,84,shes sexy  17,stray cats,
1983-01-01,85,try again,champaign,
1983-01-01,86,dead giveaway,shalamar,
1983-01-01,87,lawyers in love,jackson browne,male
1983-01-01,88,what about me,moving pictures,
1983-01-01,89,human nature,michael jackson,male
1983-01-01,90,photograph,def leppard,
1983-01-01,91,pass the dutchie,musical youth,
1983-01-01,92,TRUE,spandau ballet,
1983-01-01,93,far from over,frank stallone,male
1983-01-01,94,ive got a rock n roll heart,eric clapton,male
1983-01-01,95,it might be you,stephen bishop,male
1983-01-01,96,tonight i celebrate my love,peabo bryson and roberta flack,
1983-01-01,97,you got lucky,tom petty and the heartbreakers,
1983-01-01,98,dont cry,asia,
1983-01-01,99,breaking us in two,joe jackson,male
1983-01-01,100,fall in love with me,earth wind  fire,
1984-01-01,1,when doves cry,prince,male
1984-01-01,2,whats love got to do with it,tina turner,female
1984-01-01,3,say say say,paul mccartney and michael jackson,
1984-01-01,4,footloose,kenny loggins,male
1984-01-01,5,against all odds take a look at me now,phil collins,male
1984-01-01,6,jump,van halen,
1984-01-01,7,hello,lionel richie,male
1984-01-01,8,owner of a lonely heart,yes,
1984-01-01,9,ghostbusters,ray parker jr,male
1984-01-01,10,karma chameleon,culture club,
1984-01-01,11,missing you,john waite,male
1984-01-01,12,all night long all night,lionel richie,male
1984-01-01,13,lets hear it for the boy,deniece williams,female
1984-01-01,14,dancing in the dark,bruce springsteen,male
1984-01-01,15,girls just want to have fun,cyndi lauper,female
1984-01-01,16,the reflex,duran duran,
1984-01-01,17,time after time,cyndi lauper,female
1984-01-01,18,jump for my love,pointer sisters,
1984-01-01,19,talking in your sleep,the romantics,
1984-01-01,20,self control,laura branigan,female
1984-01-01,21,lets go crazy,prince and the revolution,
1984-01-01,22,say it isnt so,daryl hall  john oates,
1984-01-01,23,hold me now,thompson twins,
1984-01-01,24,joanna,kool  the gang,
1984-01-01,25,i just called to say i love you,stevie wonder,male
1984-01-01,26,somebodys watching me,rockwell,male
1984-01-01,27,break my stride,matthew wilder,male
1984-01-01,28,99 luftballons,nena,
1984-01-01,29,i can dream about you,dan hartman,male
1984-01-01,30,the glamorous life,sheila e,female
1984-01-01,31,oh sherrie,steve perry,male
